model,fold_id,split_policy,test_rows,test_positives,test_negatives,roc_auc,pr_auc,balanced_accuracy,precision,recall,f1,mcc
dummy,1,leakage_aware_group_stratified,592,54,538,0.5,0.0912162162162162,0.5,0.0,0.0,0.0,0.0
dummy,2,leakage_aware_group_stratified,592,54,538,0.5,0.0912162162162162,0.5,0.0,0.0,0.0,0.0
dummy,3,leakage_aware_group_stratified,592,54,538,0.5,0.0912162162162162,0.5,0.0,0.0,0.0,0.0
dummy,4,leakage_aware_group_stratified,592,54,538,0.5,0.0912162162162162,0.5,0.0,0.0,0.0,0.0
dummy,5,leakage_aware_group_stratified,591,53,538,0.5,0.0896785109983079,0.5,0.0,0.0,0.0,0.0
logistic_regression,1,leakage_aware_group_stratified,592,54,538,0.8635205837808069,0.6039119942470824,0.7737160952774336,0.2777777777777778,0.7407407407407407,0.404040404040404,0.3673652697541132
logistic_regression,2,leakage_aware_group_stratified,592,54,538,0.8631419523612832,0.4425797063423368,0.8135068153655514,0.2884615384615384,0.8333333333333334,0.4285714285714285,0.4097882070512615
logistic_regression,3,leakage_aware_group_stratified,592,54,538,0.8718848960484649,0.5518434108815379,0.7931295607875534,0.2756410256410256,0.7962962962962963,0.4095238095238095,0.3831528734352814
logistic_regression,4,leakage_aware_group_stratified,592,54,538,0.837222910642985,0.4522045508524242,0.7718229381798155,0.2611464968152866,0.7592592592592593,0.3886255924170616,0.35457626522424
logistic_regression,5,leakage_aware_group_stratified,591,53,538,0.8577891562039699,0.4616325024281753,0.7655537630637581,0.2753623188405797,0.7169811320754716,0.3979057591623036,0.3586929857460338
random_forest,1,leakage_aware_group_stratified,592,54,538,0.90642640782046,0.6795348471179233,0.702774335673964,0.9565217391304348,0.4074074074074074,0.5714285714285714,0.6042420560314941
random_forest,2,leakage_aware_group_stratified,592,54,538,0.8394430676029188,0.4810330986052649,0.6684909816880077,0.7037037037037037,0.3518518518518518,0.4691358024691358,0.4650381348097678
random_forest,3,leakage_aware_group_stratified,592,54,538,0.8776504199366653,0.6478688735697309,0.724975905273303,0.78125,0.4629629629629629,0.5813953488372093,0.572908174218373
random_forest,4,leakage_aware_group_stratified,592,54,538,0.8591835329753545,0.549894803070507,0.6777158199091284,0.5384615384615384,0.3888888888888889,0.4516129032258064,0.4125240129253219
random_forest,5,leakage_aware_group_stratified,591,53,538,0.8761310233569475,0.5451956472032925,0.6812443010451006,0.7142857142857143,0.3773584905660377,0.4938271604938271,0.4875175057335071
